city;site_name;site;state;query_name;to_date;to_time;from_date;from_time;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Eth-Benzene;MP-Xylene;RH;WD;SR;BP;AT;TOT-RF;RF;Xylene;WS;O Xylene;Temp;P-Xylene;VWS;Rack Temp
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201104;05-Nov-2020;00:00;04-Nov-2020;00:00;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201104;06-Nov-2020;00:00;05-Nov-2020;00:00;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201104;07-Nov-2020;00:00;06-Nov-2020;00:00;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201104;08-Nov-2020;00:00;07-Nov-2020;00:00;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201104;09-Nov-2020;00:00;08-Nov-2020;00:00;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201104;10-Nov-2020;00:00;09-Nov-2020;00:00;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201104;11-Nov-2020;00:00;10-Nov-2020;00:00;28.85;289.36;70.61;58.47;129.09;174.3;3.01;0.2;13.72;5.0;12.95;3.0;3.99;42.39;184.18;;969.86;27.79;0.0;0.0;3.0;0.4;;;;;
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201104;12-Nov-2020;00:00;11-Nov-2020;00:00;90.91;266.66;59.7;51.01;110.09;153.5;3.24;0.35;8.06;5.0;13.01;3.0;3.99;42.37;123.07;;969.89;25.13;0.0;0.0;3.0;0.54;;;;;
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201104;13-Nov-2020;00:00;12-Nov-2020;00:00;26.19;237.63;76.37;92.88;109.71;157.16;8.28;1.11;22.12;5.0;13.02;3.0;4.0;41.78;152.97;;970.28;25.18;0.0;0.0;3.0;0.43;;;;;
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201104;14-Nov-2020;00:00;13-Nov-2020;00:00;27.24;243.11;86.95;45.14;132.09;185.24;3.26;0.76;8.11;5.0;12.99;3.0;4.0;54.24;165.05;;971.02;26.14;0.0;0.0;3.0;0.44;;;;;
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201114;15-Nov-2020;00:00;14-Nov-2020;00:00;27.93;180.92;62.56;68.73;86.51;131.72;7.24;1.8;19.06;5.0;12.99;3.0;4.0;60.75;155.38;;966.04;27.0;0.0;0.0;3.0;0.43;;;;;
Mumbai;Bandra Kurla Complex, Mumbai - IITM;site_5392;Maharashtra;run2_maharashtra_mumbai_site_5392_20201114;16-Nov-2020;00:00;15-Nov-2020;00:00;28.38;208.86;61.09;35.03;83.9;126.3;2.71;2.42;9.4;5.0;12.97;3.0;4.0;64.71;163.82;;970.58;27.27;0.0;0.0;3.0;0.38;;;;;
